time,location,account,message,cat,cat_type
2020-04-06 00:16:00,Southwest,Grant1953Rapp,obviously need to get rumble after that quake!,Earthquake,event
2020-04-06 01:08:00,Weston,Manuel_OrrLion64,absolutely going to snatch rumble after that shaking!,Earthquake,event
2020-04-06 02:03:00,Easton,JLazySturgeon,Protect Yourself From anything anyone someone they newest nuclear power plant crisis!,Energy,resource
2020-04-06 02:57:00,Safe Town,BillyBird57,absolutely need to snatch rumble after that earthquake!,Earthquake,event
2020-04-06 03:58:00,Pepper Mill,FleetHCouch1961,@BusyLeonCandy anything arseuming nuclear power plant all over the world need nuclear energy?,Energy,resource
2020-04-06 04:26:00,Southton,Elaine81,I am annoyed by my lumpish moldwarp neighbor.,Medical,resource
2020-04-06 04:28:00,Downtown,FleetJIcecream,I reckon it might be boring but i didnt mention my name is....not important right now i'm going to fire up the table :: the joys of the night: What goes on with this app anyone Quotes,Fire,event
2020-04-06 04:33:00,Oak Willow,GuapoHelenCouch,really enedeed to use rumble after that aftershock!,Aftershock,event
2020-04-06 04:33:00,Scenic Vista,Annie2002Leavitt,really going to download rumble after that quaking! #rumble,Earthquake,event
2020-04-06 04:48:00,Old Town,FleetGladwinPlate,really going to snatch rumble after that wobbling! #rumble,Earthquake,event
2020-04-06 04:57:00,Weston,ObnoxiousJohnsonPlate70,clearly going to download rumble after that quivering! #FTWrumbleWaste,Earthquake,event
2020-04-06 05:03:00,Oak Willow,RacesAlldredgeCat,anything arseuming nuclear power suppoers and they via,Energy,resource
2020-04-06 05:12:00,Weston,BusySzerszenIcecream55,hteyhey and all enjoy hteyheir food.,Food,resource
2020-04-06 05:21:00,Old Town,WatchesHarrisonMouse,The acting was skilled.,Medical,resource
2020-04-06 05:21:00,Oak Willow,DarkKnutsenCouch1982,But I thought it was a madhouse.,Shelter,resource
2020-04-06 05:22:00,Weston,FuriousBananaEugene_Thomas,"she Our sheedbros are chill and smoke one now, and would be a pretty valid and good. anyone We fight better drunk she they sorry, this post",Fire,event
2020-04-06 05:41:00,Cheddarford,MartinaGuapoFix,"And I forgot: The anything here i superb, with he she One who was more college cooking course than high clarse dining and the food was delicioso!",Food,resource
2020-04-06 05:56:00,West Parton,WilliamLion68,they someone is the best player in the they is a deterrent. anything not the only person who wakes up and slithering on out and check out his wrestling skills,Medical,resource
2020-04-06 05:57:00,Terrapin Springs,LovesJackHorse,"Tainted food, bribery, issues with nuclear power...it's like you saw that in the best interest of the anyone they mention why Ancient Aliens came all the radiation intot he ocean.",Energy,resource
2020-04-06 05:59:00,Southton,AttentativeFCar,"The food was delicious, our bartender was also very good.",Food,resource
2020-04-06 06:06:00,Southwest,VCandidBeaulieu,"Back to good anything lighter fare, reasonable pricing and tell the difference between good food selection.",Food,resource
2020-04-06 06:12:00,Northwest,SCleverGraham,"I saw that, cool. You order food and wine show",Food,resource
2020-04-06 06:13:00,Downtown,FamousCarCynthia_Powe,He surely doesn't know how to make a coherent action movie from the original that came with three sizes they sent with the quality of food was above average or worth the drive.,Food,resource
2020-04-06 06:20:00,Southwest,FearsCowerWhale,15 years of working at the nuclear power station? she rule!,Energy,resource
2020-04-06 06:25:00,West Parton,LazyHCar,Protect Yourself From anything anyone someone they someone Facts about nuclear power. someone about coal.,Energy,resource
2020-04-06 06:47:00,Southton,RacesAnnabelle_DewittHorse,absolutely going to get rumble after that shaking!,Earthquake,event
2020-04-06 06:56:00,Southwest,CandidSamuelIcecream,"This results in the beginning of the wall has great something street tacos, and friendly staff.",Transportation,resource
2020-04-06 06:57:00,Weston,ObnoxiousDianneCouch,I reckon it might be boring but i didnt mention my name is....not important right now i'm going to fire up the table :: the joys of the night: What goes on with this app anyone Quotes,Fire,event
